epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.73656,2.22764,4.70596,1.43121,0.00917,0.07101,0.01263,0.00456,1.54747,4.39412,1.04383,0.0001375,0.0001375,0.0001375
2,8.15075,1.92312,3.59531,1.1183,0.05062,0.71003,0.10053,0.03926,1.56181,3.6162,1.01024,0.000279858,0.000279858,0.000279858
3,11.5434,1.95695,2.68378,1.14183,0.09289,0.8796,0.24693,0.11653,1.58545,2.80937,1.09135,0.000420793,0.000420793,0.000420793
4,15.0501,1.93764,2.12042,1.16187,0.29727,0.35183,0.37067,0.18796,1.58615,2.22443,1.13996,0.000560304,0.000560304,0.000560304
5,18.4257,1.90269,1.83056,1.16416,0.39623,0.47895,0.48804,0.2656,1.51036,1.77708,1.11502,0.000612625,0.000612625,0.000612625
6,21.8258,1.89339,1.67493,1.1548,0.57475,0.6805,0.64155,0.32885,1.54817,1.39554,1.09359,0.000609531,0.000609531,0.000609531
7,25.1998,1.86319,1.49305,1.13828,0.63179,0.73746,0.72314,0.37212,1.52144,1.35817,1.09072,0.000606437,0.000606437,0.000606437
8,28.6062,1.87908,1.42641,1.14765,0.72849,0.6553,0.81518,0.39979,1.55564,1.51811,1.11054,0.000603344,0.000603344,0.000603344
9,32.0166,1.89835,1.35805,1.15527,0.81034,0.85319,0.85366,0.4586,1.4725,1.23762,1.09221,0.00060025,0.00060025,0.00060025
10,35.3897,1.8555,1.28032,1.15412,0.86988,0.89415,0.93173,0.48032,1.60509,1.12152,1.12994,0.000597156,0.000597156,0.000597156
11,38.7709,1.89392,1.22549,1.18115,0.8754,0.90962,0.94459,0.49474,1.53212,0.96673,1.11233,0.000594062,0.000594062,0.000594062
12,42.1588,1.86289,1.16921,1.15336,0.92656,0.92747,0.97233,0.53126,1.45521,0.99136,1.09892,0.000590969,0.000590969,0.000590969
13,45.5134,1.82375,1.13262,1.14645,0.93381,0.96838,0.98106,0.5318,1.43867,0.88068,1.09889,0.000587875,0.000587875,0.000587875
14,49.1422,1.85135,1.10853,1.15635,0.92975,0.93918,0.97584,0.53327,1.46202,0.86663,1.11582,0.000584781,0.000584781,0.000584781
15,52.4807,1.80586,1.08348,1.15712,0.95403,0.96158,0.98079,0.53386,1.50424,0.85624,1.12792,0.000581687,0.000581687,0.000581687
16,55.8346,1.80317,1.08266,1.14241,0.96161,0.96614,0.98011,0.53611,1.47088,0.79921,1.11643,0.000578594,0.000578594,0.000578594
17,59.1568,1.77778,1.05745,1.15215,0.95488,0.96604,0.97614,0.48771,1.62744,0.95478,1.14627,0.0005755,0.0005755,0.0005755
18,62.4513,1.75758,1.05636,1.14697,0.95438,0.96864,0.98399,0.50845,1.59872,0.8213,1.15003,0.000572406,0.000572406,0.000572406
19,65.8007,1.74885,1.03123,1.13383,0.96101,0.96774,0.98377,0.52295,1.56225,0.83508,1.14821,0.000569313,0.000569313,0.000569313
20,69.0537,1.72838,0.97363,1.11944,0.97795,0.96598,0.98383,0.53032,1.4978,0.79681,1.11792,0.000566219,0.000566219,0.000566219
21,72.3152,1.77947,1.03004,1.14204,0.96526,0.97682,0.98446,0.52303,1.47374,0.84953,1.11211,0.000563125,0.000563125,0.000563125
22,75.5907,1.7341,1.0082,1.13845,0.95657,0.96349,0.98459,0.50654,1.50962,0.8511,1.11366,0.000560031,0.000560031,0.000560031
23,78.8751,1.74107,0.96782,1.12178,0.95863,0.97659,0.98458,0.54162,1.48842,0.77283,1.12559,0.000556938,0.000556938,0.000556938
24,82.3283,1.73279,0.99172,1.13715,0.95921,0.97455,0.98517,0.5204,1.51297,0.8162,1.12062,0.000553844,0.000553844,0.000553844
25,85.5772,1.7185,0.9775,1.14405,0.9662,0.97611,0.9847,0.54472,1.45598,0.8018,1.11211,0.00055075,0.00055075,0.00055075
26,88.9274,1.7477,0.98332,1.13556,0.97361,0.97425,0.9875,0.537,1.48325,0.76994,1.12717,0.000547656,0.000547656,0.000547656
27,92.224,1.71567,0.93911,1.1242,0.96674,0.96836,0.97704,0.48341,1.63911,0.76945,1.16787,0.000544563,0.000544563,0.000544563
28,95.4869,1.75334,0.94967,1.13918,0.97126,0.97667,0.98363,0.49076,1.62813,0.77488,1.16609,0.000541469,0.000541469,0.000541469
29,98.7313,1.7234,0.94167,1.1248,0.96992,0.97887,0.98388,0.50181,1.56126,0.77066,1.14562,0.000538375,0.000538375,0.000538375
30,101.997,1.69748,0.94715,1.12757,0.95558,0.9473,0.96997,0.48017,1.61122,0.78592,1.1618,0.000535281,0.000535281,0.000535281
31,105.25,1.72423,0.94479,1.13484,0.97951,0.97813,0.98404,0.50954,1.5143,0.7256,1.12644,0.000532187,0.000532187,0.000532187
32,108.669,1.68014,0.93448,1.11808,0.9695,0.97628,0.97619,0.49743,1.6171,0.75489,1.16991,0.000529094,0.000529094,0.000529094
33,111.974,1.73372,0.93765,1.12083,0.97548,0.98451,0.9828,0.51474,1.50556,0.7469,1.12747,0.000526,0.000526,0.000526
34,115.252,1.67837,0.94169,1.11346,0.97503,0.98717,0.98465,0.54095,1.46729,0.75581,1.1183,0.000522906,0.000522906,0.000522906
35,118.511,1.70621,0.93035,1.11984,0.957,0.98528,0.98276,0.547,1.45196,0.72879,1.10592,0.000519812,0.000519812,0.000519812
36,121.886,1.69791,0.91179,1.10444,0.96678,0.98265,0.98195,0.52213,1.55552,0.72224,1.13961,0.000516719,0.000516719,0.000516719
37,125.148,1.73271,0.93103,1.13707,0.96907,0.98401,0.98666,0.55504,1.43606,0.70486,1.10863,0.000513625,0.000513625,0.000513625
38,128.546,1.68912,0.91818,1.10439,0.97115,0.98668,0.98553,0.53171,1.50415,0.74646,1.12874,0.000510531,0.000510531,0.000510531
39,131.832,1.66138,0.90836,1.10682,0.97663,0.98376,0.98942,0.52748,1.47721,0.71406,1.12446,0.000507438,0.000507438,0.000507438
40,135.096,1.63729,0.87772,1.09132,0.96859,0.98927,0.98798,0.52909,1.48451,0.70641,1.11842,0.000504344,0.000504344,0.000504344
41,138.338,1.68128,0.90851,1.11783,0.97177,0.98254,0.98935,0.52931,1.51894,0.72766,1.11801,0.00050125,0.00050125,0.00050125
42,141.716,1.67773,0.8965,1.09993,0.96777,0.98355,0.9888,0.53334,1.51416,0.71294,1.12301,0.000498156,0.000498156,0.000498156
43,144.987,1.66731,0.89836,1.11131,0.96039,0.97394,0.98434,0.51569,1.56539,0.73713,1.14248,0.000495063,0.000495063,0.000495063
44,148.271,1.62625,0.86646,1.08948,0.95699,0.96536,0.96596,0.48088,1.65771,0.75313,1.19252,0.000491969,0.000491969,0.000491969
45,151.534,1.67119,0.88446,1.11167,0.95404,0.97685,0.97936,0.46599,1.71373,0.76595,1.18742,0.000488875,0.000488875,0.000488875
46,154.837,1.66929,0.8825,1.09802,0.98025,0.98862,0.98814,0.54807,1.47479,0.69499,1.11604,0.000485781,0.000485781,0.000485781
47,158.113,1.62641,0.86333,1.08593,0.97476,0.98019,0.98605,0.54021,1.46327,0.68185,1.11736,0.000482687,0.000482687,0.000482687
48,161.403,1.62653,0.86225,1.09681,0.97711,0.9858,0.9843,0.518,1.54519,0.70767,1.14365,0.000479594,0.000479594,0.000479594
49,164.662,1.65468,0.88101,1.11215,0.97349,0.98932,0.98695,0.52544,1.50285,0.69435,1.12569,0.0004765,0.0004765,0.0004765
50,167.959,1.62007,0.86302,1.08409,0.91025,0.94635,0.93416,0.41181,1.77335,0.76437,1.22471,0.000473406,0.000473406,0.000473406
51,171.254,1.63458,0.86955,1.1002,0.97262,0.98443,0.98132,0.51059,1.48939,0.70706,1.11821,0.000470312,0.000470312,0.000470312
52,174.609,1.64025,0.8654,1.11877,0.9685,0.98424,0.98368,0.54423,1.48863,0.69754,1.12477,0.000467219,0.000467219,0.000467219
53,177.872,1.62429,0.85374,1.10786,0.97533,0.98355,0.98293,0.53598,1.45488,0.68637,1.11136,0.000464125,0.000464125,0.000464125
54,181.13,1.60583,0.84111,1.09759,0.96226,0.97706,0.97927,0.49515,1.52943,0.6963,1.13837,0.000461031,0.000461031,0.000461031
55,184.383,1.63413,0.86207,1.11372,0.96004,0.97511,0.97312,0.4834,1.60849,0.70789,1.1682,0.000457938,0.000457938,0.000457938
56,187.666,1.63181,0.856,1.09402,0.97247,0.98439,0.98754,0.52346,1.52971,0.66109,1.13837,0.000454844,0.000454844,0.000454844
57,190.915,1.60985,0.84005,1.10528,0.97243,0.97893,0.97925,0.49254,1.58661,0.69049,1.16324,0.00045175,0.00045175,0.00045175
58,194.184,1.60523,0.84432,1.08578,0.97299,0.98519,0.98249,0.51944,1.51808,0.67431,1.13911,0.000448656,0.000448656,0.000448656
59,197.477,1.58682,0.84144,1.07589,0.97532,0.98606,0.98572,0.52964,1.49764,0.67236,1.12188,0.000445562,0.000445562,0.000445562
60,200.747,1.60222,0.83268,1.10719,0.97393,0.97722,0.98378,0.53245,1.54802,0.6934,1.15353,0.000442469,0.000442469,0.000442469
61,204.041,1.6032,0.83838,1.08465,0.97018,0.98248,0.9831,0.5303,1.49537,0.6719,1.1242,0.000439375,0.000439375,0.000439375
62,207.406,1.57964,0.82213,1.07717,0.9681,0.98312,0.98512,0.52933,1.49046,0.66295,1.13755,0.000436281,0.000436281,0.000436281
63,210.637,1.56512,0.82219,1.09619,0.96956,0.98223,0.98476,0.52782,1.47853,0.6466,1.12162,0.000433187,0.000433187,0.000433187
64,213.901,1.59106,0.81919,1.0809,0.95721,0.97057,0.97351,0.48799,1.67052,0.67949,1.19379,0.000430094,0.000430094,0.000430094
