epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.19447,2.22764,4.70596,1.43121,0.00917,0.07101,0.01263,0.00456,1.54747,4.39412,1.04383,0.0001375,0.0001375,0.0001375
2,8.6184,1.92376,3.60017,1.11874,0.05357,0.76033,0.11271,0.0453,1.56011,3.59513,1.00896,0.000275681,0.000275681,0.000275681
3,12.0068,1.95284,2.69521,1.13902,0.06683,0.91706,0.23951,0.11468,1.58473,2.80202,1.08747,0.00040817,0.00040817,0.00040817
4,15.3617,1.93631,2.12872,1.15902,0.35423,0.34134,0.37269,0.19208,1.59623,2.22998,1.14523,0.000534966,0.000534966,0.000534966
5,18.7062,1.90103,1.83505,1.16402,0.40324,0.45386,0.48463,0.26274,1.52723,1.84244,1.1168,0.0005755,0.0005755,0.0005755
6,22.0954,1.89541,1.68126,1.15636,0.57531,0.64844,0.63448,0.33389,1.531,1.40245,1.09359,0.000563125,0.000563125,0.000563125
7,25.4428,1.86247,1.50106,1.13915,0.64191,0.76209,0.74485,0.37708,1.50824,1.35132,1.0856,0.00055075,0.00055075,0.00055075
8,28.824,1.87949,1.42658,1.1439,0.74672,0.68528,0.79848,0.38378,1.56735,1.53005,1.10858,0.000538375,0.000538375,0.000538375
9,32.1706,1.89358,1.36489,1.1497,0.81674,0.82456,0.8601,0.46183,1.47092,1.21968,1.08801,0.000526,0.000526,0.000526
10,35.5012,1.85606,1.28721,1.15166,0.86677,0.88345,0.92462,0.48266,1.5482,1.11119,1.10724,0.000513625,0.000513625,0.000513625
11,38.8368,1.88879,1.23267,1.17502,0.89405,0.90868,0.94425,0.49768,1.48802,0.9701,1.09401,0.00050125,0.00050125,0.00050125
12,42.1869,1.86115,1.18144,1.1488,0.92443,0.91627,0.97048,0.54076,1.43087,1.02035,1.09231,0.000488875,0.000488875,0.000488875
13,45.5392,1.82227,1.14313,1.14102,0.92207,0.9586,0.97958,0.52409,1.46199,0.89469,1.09739,0.0004765,0.0004765,0.0004765
14,49.0486,1.86437,1.12503,1.15624,0.9371,0.94534,0.97865,0.51133,1.52176,0.88856,1.12879,0.000464125,0.000464125,0.000464125
15,52.3129,1.80009,1.08507,1.15539,0.95393,0.94598,0.98003,0.52035,1.52432,0.85636,1.12641,0.00045175,0.00045175,0.00045175
16,55.5979,1.81409,1.08864,1.14331,0.95517,0.94255,0.98057,0.52927,1.50023,0.8338,1.11977,0.000439375,0.000439375,0.000439375
17,58.8534,1.77647,1.05257,1.14816,0.95748,0.95538,0.97542,0.48059,1.63273,0.90123,1.15259,0.000427,0.000427,0.000427
18,62.1284,1.75755,1.05784,1.1382,0.96469,0.9704,0.98003,0.51051,1.56302,0.79271,1.13652,0.000414625,0.000414625,0.000414625
19,65.4487,1.75224,1.02765,1.13145,0.96158,0.97489,0.98362,0.52585,1.51414,0.81155,1.1219,0.00040225,0.00040225,0.00040225
20,68.6949,1.72636,0.98584,1.11656,0.96355,0.96484,0.98275,0.55041,1.44859,0.79483,1.10216,0.000389875,0.000389875,0.000389875
21,72.0365,1.80843,1.02701,1.14538,0.97349,0.98102,0.98387,0.5393,1.47807,0.77622,1.11289,0.0003775,0.0003775,0.0003775
22,75.3591,1.728,0.99745,1.13287,0.97511,0.98004,0.98509,0.52931,1.48364,0.77086,1.11344,0.000365125,0.000365125,0.000365125
23,78.6587,1.72962,0.95583,1.11613,0.97851,0.98448,0.98632,0.54421,1.45063,0.75606,1.1083,0.00035275,0.00035275,0.00035275
24,81.9543,1.74316,0.97788,1.13868,0.96646,0.98441,0.98758,0.52389,1.46549,0.76309,1.10709,0.000340375,0.000340375,0.000340375
25,85.1995,1.71202,0.96492,1.13337,0.9675,0.97389,0.9808,0.51782,1.4986,0.76419,1.12095,0.000328,0.000328,0.000328
