epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1925,1.44733,3.35483,1.0872,0.03785,0.96186,0.36997,0.24369,1.2053,2.91459,0.99255,0.000205696,0.000205696,0.000205696
2,27.9151,1.19474,1.72414,0.97419,0.66449,0.68094,0.72481,0.50307,1.20975,1.49051,1.00912,0.000405832,0.000405832,0.000405832
3,39.598,1.10931,1.2607,0.95964,0.79746,0.82382,0.90134,0.65876,1.03958,1.01439,0.98417,0.000597717,0.000597717,0.000597717
4,51.2608,1.03164,1.02952,0.94956,0.90122,0.90109,0.9546,0.71926,0.9912,0.79159,0.9661,0.000587875,0.000587875,0.000587875
5,63.6574,1.01743,0.91048,0.94676,0.92979,0.93015,0.97397,0.69399,1.12842,0.79896,0.99591,0.0005755,0.0005755,0.0005755
6,75.03,0.97663,0.8188,0.93775,0.96334,0.94877,0.98336,0.75895,0.92889,0.66486,0.96074,0.000563125,0.000563125,0.000563125
7,86.4548,0.95378,0.77032,0.93275,0.95192,0.96413,0.98707,0.75954,0.98105,0.6788,0.9727,0.00055075,0.00055075,0.00055075
8,97.9711,0.95159,0.73791,0.93415,0.96373,0.96308,0.98765,0.7629,0.91977,0.65021,0.97601,0.000538375,0.000538375,0.000538375
9,109.366,0.9301,0.70483,0.92653,0.97866,0.97849,0.98982,0.77978,0.90654,0.61842,0.94579,0.000526,0.000526,0.000526
10,120.966,0.91287,0.68349,0.92228,0.97722,0.98519,0.99091,0.79335,0.84276,0.59335,0.92383,0.000513625,0.000513625,0.000513625
11,132.574,0.91148,0.65978,0.91986,0.98167,0.97238,0.98978,0.77538,0.94119,0.56702,0.95119,0.00050125,0.00050125,0.00050125
12,144.705,0.89927,0.63514,0.92029,0.983,0.98214,0.99129,0.79434,0.87246,0.53033,0.93968,0.000488875,0.000488875,0.000488875
13,156.259,0.88655,0.62751,0.91887,0.97806,0.98491,0.99158,0.79537,0.84948,0.55527,0.94003,0.0004765,0.0004765,0.0004765
14,167.891,0.87338,0.61568,0.90944,0.98161,0.98838,0.99218,0.78042,0.91972,0.52661,0.96086,0.000464125,0.000464125,0.000464125
15,179.708,0.88383,0.60143,0.91643,0.97926,0.98698,0.99171,0.78592,0.8685,0.54096,0.94465,0.00045175,0.00045175,0.00045175
16,191.121,0.86857,0.5916,0.91644,0.98133,0.98779,0.99227,0.80125,0.81286,0.50885,0.92644,0.000439375,0.000439375,0.000439375
17,202.779,0.85681,0.57292,0.91351,0.98911,0.98875,0.99305,0.80435,0.83421,0.52332,0.9347,0.000427,0.000427,0.000427
18,214.324,0.84516,0.56117,0.90949,0.98391,0.9849,0.99176,0.80368,0.79854,0.4927,0.92516,0.000414625,0.000414625,0.000414625
19,225.912,0.83098,0.55525,0.90637,0.98605,0.98391,0.9909,0.81156,0.78641,0.51337,0.91899,0.00040225,0.00040225,0.00040225
20,237.374,0.84226,0.54776,0.91011,0.9848,0.99396,0.99292,0.81401,0.7745,0.44772,0.91521,0.000389875,0.000389875,0.000389875
21,248.874,0.81987,0.54557,0.90104,0.98375,0.98658,0.99203,0.80323,0.8084,0.51921,0.92189,0.0003775,0.0003775,0.0003775
22,260.464,0.824,0.53302,0.90504,0.98962,0.98892,0.99211,0.81224,0.77475,0.48137,0.92275,0.000365125,0.000365125,0.000365125
23,272.127,0.81914,0.5233,0.9021,0.98458,0.98493,0.99199,0.81094,0.77403,0.46475,0.91713,0.00035275,0.00035275,0.00035275
24,283.717,0.80958,0.51563,0.89668,0.98759,0.99032,0.99324,0.81689,0.78181,0.43548,0.91228,0.000340375,0.000340375,0.000340375
25,295.318,0.79934,0.50806,0.89703,0.98875,0.98798,0.99243,0.82172,0.75399,0.43197,0.90731,0.000328,0.000328,0.000328
26,306.826,0.79608,0.5114,0.89958,0.987,0.98965,0.99273,0.82641,0.74898,0.46796,0.91454,0.000315625,0.000315625,0.000315625
27,318.316,0.80085,0.5005,0.90007,0.98617,0.98944,0.99276,0.80906,0.7943,0.4396,0.92205,0.00030325,0.00030325,0.00030325
28,329.801,0.78543,0.48921,0.89633,0.98879,0.98802,0.99232,0.82039,0.76817,0.45478,0.91667,0.000290875,0.000290875,0.000290875
29,341.386,0.79396,0.49179,0.8934,0.98917,0.98863,0.99152,0.82627,0.73537,0.41614,0.909,0.0002785,0.0002785,0.0002785
30,352.789,0.77444,0.4843,0.8911,0.98736,0.99117,0.99183,0.82543,0.74274,0.41071,0.90937,0.000266125,0.000266125,0.000266125
31,364.434,0.7717,0.47374,0.88949,0.98834,0.99214,0.99209,0.82907,0.73285,0.39864,0.91816,0.00025375,0.00025375,0.00025375
32,376.334,0.76663,0.46809,0.88703,0.98636,0.98958,0.99232,0.82382,0.7673,0.42734,0.91484,0.000241375,0.000241375,0.000241375
33,387.813,0.77711,0.4729,0.89169,0.98654,0.99082,0.99189,0.83067,0.72026,0.40476,0.90509,0.000229,0.000229,0.000229
34,399.405,0.77576,0.46501,0.89112,0.98939,0.98875,0.99232,0.83057,0.7275,0.40569,0.90443,0.000216625,0.000216625,0.000216625
35,410.92,0.76767,0.46157,0.89211,0.98682,0.98896,0.99176,0.83403,0.71731,0.43271,0.90184,0.00020425,0.00020425,0.00020425
36,422.51,0.76375,0.45392,0.88902,0.98649,0.99201,0.99289,0.8342,0.71905,0.40188,0.90742,0.000191875,0.000191875,0.000191875
37,433.878,0.75327,0.45404,0.89109,0.988,0.99002,0.99313,0.84247,0.70174,0.38866,0.90078,0.0001795,0.0001795,0.0001795
38,445.476,0.74238,0.44471,0.8833,0.98737,0.9905,0.99222,0.83967,0.70583,0.3816,0.90238,0.000167125,0.000167125,0.000167125
39,457.154,0.75382,0.44498,0.88557,0.98809,0.99088,0.99286,0.84076,0.69666,0.39367,0.8959,0.00015475,0.00015475,0.00015475
40,468.724,0.74912,0.44506,0.88359,0.98662,0.99269,0.99291,0.83858,0.7079,0.38662,0.90184,0.000142375,0.000142375,0.000142375
41,481.171,0.72702,0.41759,0.88842,0.99061,0.99049,0.992,0.83202,0.73958,0.38728,0.91409,0.00013,0.00013,0.00013
42,491.971,0.71518,0.42232,0.88257,0.98977,0.99125,0.99238,0.84154,0.7065,0.38324,0.90403,0.000117625,0.000117625,0.000117625
43,502.782,0.70121,0.40069,0.87876,0.98848,0.99101,0.99263,0.84237,0.69301,0.38671,0.8981,0.00010525,0.00010525,0.00010525
